Immunohistochemical staining was positive for S - 100 in all 9 cases stained , positive for HMB - 45 in 9 ( 90 % ) of 10 , and negative for cytokeratin in all 9 cases in which myxoid melanoma remained in the block after previous sections .	Immunohistochemical staining was positive for gene* S - 100 *gene in all 9 cases stained , positive for gene* HMB - 45 *gene in 9 ( 90 % ) of 10 , and negative for gene* cytokeratin *gene in all 9 cases in which myxoid melanoma remained in the block after previous sections .
Chloramphenicol acetyltransferase assays examining the ability of IE86 to repress activity from the HCMV major IE promoter or activate the HCMV early promoter for the 2 . 2 - kb class of RNAs demonstrated the functional integrity of the IE86 protein .	gene* Chloramphenicol acetyltransferase *gene assays examining the ability of gene* IE86 *gene to repress activity from the HCMV major gene* IE promoter *gene or activate the gene* HCMV early promoter *gene for the 2 . 2 - kb class of RNAs demonstrated the functional integrity of the gene* IE86 protein *gene .
A new DNA repair gene from Schizosaccharomyces pombe with homology to RecA was identified and characterized .	A new gene* DNA repair gene *gene from Schizosaccharomyces pombe with homology to gene* RecA *gene was identified and characterized .
Our study also demonstrated significant increases in the number of larger myelinated fibers crossing the repair site in comparison with the neonatal and adult groups ( p < 0 . 04 ) .	Our study also demonstrated significant increases in the number of larger myelinated fibers crossing the repair site in comparison with the neonatal and adult groups ( p < 0 . 04 ) .
Cloning and sequencing of the upstream region of pepX revealed the presence of two ORFs of 360 and 1 , 338 bp that were shown to be able to encode proteins with high homology to GlnR and GlnA proteins , respectively .	Cloning and sequencing of the upstream region of gene* pepX *gene revealed the presence of two ORFs of 360 and 1 , 338 bp that were shown to be able to encode proteins with high homology to gene* GlnR *gene and gene* GlnA proteins *gene , respectively .
Both mutant receptors were expressed on the cell surface and bound insulin normally , but showed markedly impaired autophosphorylation in response to insulin .	Both mutant receptors were expressed on the cell surface and bound gene* insulin *gene normally , but showed markedly impaired autophosphorylation in response to gene* insulin *gene .
Furthermore , analysis of the E2 proteins present in various cell lines harboring specific BPV - 1 mutants , including the 2558 acceptor mutant , proves that alternate modes of E2 expression exist .	Furthermore , analysis of the gene* E2 proteins *gene present in various cell lines harboring specific BPV - 1 mutants , including the 2558 acceptor mutant , proves that alternate modes of gene* E2 *gene expression exist .
Molecular modelling suggested that the tetramerization domain was a four - helix bundle , stabilized by interactions of seven conserved aromatic amino acids .	Molecular modelling suggested that the tetramerization domain was a four - helix bundle , stabilized by interactions of seven conserved aromatic amino acids .
Hematology problem of the month : band or seg ?	Hematology problem of the month : band or seg ?
PKA phosphorylated WT1 at Ser - 365 and Ser - 393 in vitro , as well as at additional sites , and this phosphorylation abolished the DNA - binding activity of WT1 in vitro .	gene* PKA *gene phosphorylated gene* WT1 *gene at Ser - 365 and Ser - 393 in vitro , as well as at additional sites , and this phosphorylation abolished the DNA - binding activity of gene* WT1 *gene in vitro .
ROCK - I , Kinectin , and mDia2 can bind the wild type forms of both RhoA and Cdc42 in a GTP - dependent manner in vitro .	gene* ROCK - I *gene , gene* Kinectin *gene , and gene* mDia2 *gene can bind the wild type forms of both gene* RhoA *gene and gene* Cdc42 *gene in a GTP - dependent manner in vitro .
These results support the hypothesis that in the presence of tryptophan the ribosome translating tnaC blocks Rho ' s access to the boxA and rut sites , thereby preventing transcription termination .	These results support the hypothesis that in the presence of tryptophan the ribosome translating gene* tnaC *gene blocks gene* Rho *gene ' s access to the gene* boxA *gene and gene* rut sites *gene , thereby preventing transcription termination .
Suppressors of defective silencing in yeast : effects on transcriptional repression at the HMR locus , cell growth and telomere structure .	Suppressors of defective silencing in yeast : effects on transcriptional repression at the gene* HMR locus *gene , cell growth and telomere structure .
The pJR vectors differ among them in : ( a ) the selectable marker ( Saccharomyces cerevisiae LEU 2 gene , which complements S . pombe leu1 - gene and S . pombe ura4 + and his3 + genes ) ; ( b ) the thiamine - repressible nmt1 promoter ( 3X , 41X and 81X with extremely high , moderate or low transcription efficiency , respectively ) ; and ( c ) the multiple cloning site ( two multiple cloning sites , with 12 restriction sites each ) .	The pJR vectors differ among them in : ( a ) the selectable marker ( Saccharomyces cerevisiae gene* LEU 2 gene *gene , which complements gene* S . pombe leu1 - gene *gene and S . pombe gene* ura4 + *gene and gene* his3 + genes *gene ) ; ( b ) the thiamine - repressible gene* nmt1 promoter *gene ( 3X , 41X and 81X with extremely high , moderate or low transcription efficiency , respectively ) ; and ( c ) the multiple cloning site ( two multiple cloning sites , with 12 restriction sites each ) .
The transcription of most RP genes is activated by two Rap1p binding sites , 250 to 400 bp upstream from the initiation of transcription .	The transcription of most gene* RP genes *gene is activated by two gene* Rap1p binding sites *gene , 250 to 400 bp upstream from the initiation of transcription .
Cardiac markers troponin T , CK - MB mass and myoglobin were helpful in the differential diagnosis of chest pain , even when the ECG was unremarkable or nonspecific .	Cardiac markers gene* troponin T *gene , gene* CK *gene - gene* MB *gene mass and gene* myoglobin *gene were helpful in the differential diagnosis of chest pain , even when the ECG was unremarkable or nonspecific .
