Selegiline - induced postural hypotension in Parkinson ' s disease : a longitudinal study on the effects of drug withdrawal .	chem* Selegiline *chem - induced postural hypotension in Parkinson ' s disease : a longitudinal study on the effects of drug withdrawal .
OBJECTIVES : The United Kingdom Parkinson ' s Disease Research Group ( UKPDRG ) trial found an increased mortality in patients with Parkinson ' s disease ( PD ) randomized to receive 10 mg selegiline per day and L - dopa compared with those taking L - dopa alone .	OBJECTIVES : The United Kingdom Parkinson ' s Disease Research Group ( UKPDRG ) trial found an increased mortality in patients with Parkinson ' s disease ( PD ) randomized to receive 10 mg chem* selegiline *chem per day and chem* L - dopa *chem compared with those taking chem* L - dopa *chem alone .
Recently , we found that therapy with selegiline and L - dopa was associated with selective systolic orthostatic hypotension which was abolished by withdrawal of selegiline .	Recently , we found that therapy with chem* selegiline *chem and chem* L - dopa *chem was associated with selective systolic orthostatic hypotension which was abolished by withdrawal of chem* selegiline *chem .
This unwanted effect on postural blood pressure was not the result of underlying autonomic failure .	This unwanted effect on postural blood pressure was not the result of underlying autonomic failure .
The aims of this study were to confirm our previous findings in a separate cohort of patients and to determine the time course of the cardiovascular consequences of stopping selegiline in the expectation that this might shed light on the mechanisms by which the drug causes orthostatic hypotension .	The aims of this study were to confirm our previous findings in a separate cohort of patients and to determine the time course of the cardiovascular consequences of stopping chem* selegiline *chem in the expectation that this might shed light on the mechanisms by which the drug causes orthostatic hypotension .
METHODS : The cardiovascular responses to standing and head - up tilt were studied repeatedly in PD patients receiving selegiline and as the drug was withdrawn .	METHODS : The cardiovascular responses to standing and head - up tilt were studied repeatedly in PD patients receiving chem* selegiline *chem and as the drug was withdrawn .
RESULTS : Head - up tilt caused systolic orthostatic hypotension which was marked in six of 20 PD patients on selegiline , one of whom lost consciousness with unrecordable blood pressures .	RESULTS : Head - up tilt caused systolic orthostatic hypotension which was marked in six of 20 PD patients on chem* selegiline *chem , one of whom lost consciousness with unrecordable blood pressures .
A lesser degree of orthostatic hypotension occurred with standing .	A lesser degree of orthostatic hypotension occurred with standing .
Orthostatic hypotension was ameliorated 4 days after withdrawal of selegiline and totally abolished 7 days after discontinuation of the drug .	Orthostatic hypotension was ameliorated 4 days after withdrawal of chem* selegiline *chem and totally abolished 7 days after discontinuation of the drug .
Stopping selegiline also significantly reduced the supine systolic and diastolic blood pressures consistent with a previously undescribed supine pressor action .	Stopping chem* selegiline *chem also significantly reduced the supine systolic and diastolic blood pressures consistent with a previously undescribed supine pressor action .
CONCLUSION : This study confirms our previous finding that selegiline in combination with L - dopa is associated with selective orthostatic hypotension .	CONCLUSION : This study confirms our previous finding that chem* selegiline *chem in combination with chem* L - dopa *chem is associated with selective orthostatic hypotension .
The possibilities that these cardiovascular findings might be the result of non - selective inhibition of monoamine oxidase or of amphetamine and metamphetamine are discussed .	The possibilities that these cardiovascular findings might be the result of non - selective inhibition of monoamine oxidase or of chem* amphetamine *chem and chem* metamphetamine *chem are discussed .
Further studies on effects of irrigation solutions on rat bladders .	Further studies on effects of irrigation solutions on rat bladders .
Further studies on the effects of certain irrigating fluids on the rat bladder for 18 hours are reported .	Further studies on the effects of certain irrigating fluids on the rat bladder for 18 hours are reported .
The results have shown that the degradation product p - choloroaniline is not a significant factor in chlorhexidine - digluconate associated erosive cystitis .	The results have shown that the degradation product chem* p - choloroaniline *chem is not a significant factor in chem* chlorhexidine - digluconate *chem associated erosive cystitis .
A high percentage of kanamycin - colistin and povidone - iodine irrigations were associated with erosive cystitis and suggested a possible complication with human usage .	A high percentage of chem* kanamycin *chem - chem* colistin *chem and chem* povidone - iodine *chem irrigations were associated with erosive cystitis and suggested a possible complication with human usage .
Picloxydine irrigations appeared to have a lower incidence of erosive cystitis but further studies would have to be performed before it could be recommended for use in urological procedures .	chem* Picloxydine *chem irrigations appeared to have a lower incidence of erosive cystitis but further studies would have to be performed before it could be recommended for use in urological procedures .
Effects of tetrandrine and fangchinoline on experimental thrombosis in mice and human platelet aggregation .	Effects of chem* tetrandrine *chem and chem* fangchinoline *chem on experimental thrombosis in mice and human platelet aggregation .
Tetrandrine ( TET ) and fangchinoline ( FAN ) are two naturally occurring analogues with a bisbenzylisoquinoline structure .	chem* Tetrandrine *chem ( chem* TET *chem ) and chem* fangchinoline *chem ( chem* FAN *chem ) are two naturally occurring analogues with a chem* bisbenzylisoquinoline *chem structure .
The present study was undertaken to investigate the effects of TET and FAN on the experimental thrombosis induced by collagen plus epinephrine ( EP ) in mice , and platelet aggregation and blood coagulation in vitro .	The present study was undertaken to investigate the effects of chem* TET *chem and chem* FAN *chem on the experimental thrombosis induced by collagen plus chem* epinephrine *chem ( chem* EP *chem ) in mice , and platelet aggregation and blood coagulation in vitro .
In the in vivo study , the administration ( 50 mg / kg , i . p . ) of TET and FAN in mice showed the inhibition of thrombosis by 55 % and 35 % , respectively , while acetylsalicylic acid ( ASA , 50 mg / kg , i . p . ) , a positive control , showed only 30 % inhibition .	In the in vivo study , the administration ( 50 mg / kg , i . p . ) of chem* TET *chem and chem* FAN *chem in mice showed the inhibition of thrombosis by 55 % and 35 % , respectively , while chem* acetylsalicylic acid *chem ( chem* ASA *chem , 50 mg / kg , i . p . ) , a positive control , showed only 30 % inhibition .
In the vitro human platelet aggregations induced by the agonists used in tests , TET and FAN showed the inhibitions dose dependently .	In the vitro human platelet aggregations induced by the agonists used in tests , chem* TET *chem and chem* FAN *chem showed the inhibitions dose dependently .
In addition , neither TET nor FAN showed any anticoagulation activities in the measurement of the activated partial thromboplastin time ( APTT ) , prothrombin time ( PT ) and thrombin time ( TT ) using human - citrated plasma .	In addition , neither chem* TET *chem nor chem* FAN *chem showed any anticoagulation activities in the measurement of the activated partial thromboplastin time ( APTT ) , prothrombin time ( PT ) and thrombin time ( TT ) using human - citrated plasma .
These results suggest that antithrombosis of TET and FAN in mice may be mainly related to the antiplatelet aggregation activities .	These results suggest that antithrombosis of chem* TET *chem and chem* FAN *chem in mice may be mainly related to the antiplatelet aggregation activities .
Angioedema due to ACE inhibitors : common and inadequately diagnosed .	Angioedema due to chem* ACE inhibitors *chem : common and inadequately diagnosed .
The estimated incidence of angioedema during angiotensin - converting enzyme ( ACE ) inhibitor treatment is between 1 and 7 per thousand patients .	The estimated incidence of angioedema during chem* angiotensin - converting enzyme ( ACE ) inhibitor *chem treatment is between 1 and 7 per thousand patients .
This potentially serious adverse effect is often preceded by minor manifestations that may serve as a warning .	This potentially serious adverse effect is often preceded by minor manifestations that may serve as a warning .
Cocaine - induced mood disorder : prevalence rates and psychiatric symptoms in an outpatient cocaine - dependent sample .	chem* Cocaine *chem - induced mood disorder : prevalence rates and psychiatric symptoms in an outpatient chem* cocaine *chem - dependent sample .
This paper attempts to examine and compare prevalence rates and symptom patterns of DSM substance - induced and other mood disorders .	This paper attempts to examine and compare prevalence rates and symptom patterns of DSM substance - induced and other mood disorders .
243 cocaine - dependent outpatients with cocaine - induced mood disorder ( CIMD ) , other mood disorders , or no mood disorder were compared on measures of psychiatric symptoms .	243 chem* cocaine *chem - dependent outpatients with chem* cocaine *chem - induced mood disorder ( CIMD ) , other mood disorders , or no mood disorder were compared on measures of psychiatric symptoms .
The prevalence rate for CIMD was 12 % at baseline .	The prevalence rate for CIMD was 12 % at baseline .
Introduction of the DSM - IV diagnosis of CIMD did not substantially affect rates of the other depressive disorders .	Introduction of the DSM - IV diagnosis of CIMD did not substantially affect rates of the other depressive disorders .
Patients with CIMD had symptom severity levels between those of patients with and without a mood disorder .	Patients with CIMD had symptom severity levels between those of patients with and without a mood disorder .
These findings suggest some validity for the new DSM - IV diagnosis of CIMD , but also suggest that it requires further specification and replication .	These findings suggest some validity for the new DSM - IV diagnosis of CIMD , but also suggest that it requires further specification and replication .
